ISIN_7_PREFIX,Company,All Companies Seen
INE020E,STCI FINANCE LIMITED,STCI FINANCE LIMITED
INE021T,UNISHIRE URBANSCAPE PRIVATE LIMITED,UNISHIRE URBANSCAPE PRIVATE LIMITED
INE025M,NOVO X TRUST LOCOMOTIVE,NOVO X TRUST LOCOMOTIVE
INE0272,BOBCARD LIMITED,BOBCARD LIMITED
INE027A,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED
INE027E,L,L | L&T FINANCE LIMITED
INE028A,BANK OF BARODA,BANK OF BARODA
INE029A,BHARAT PETROLEUM CORPORATION LTD.,BHARAT PETROLEUM CORPORATION LTD.
INE02CG,GOLDEN GUILD PROPERTIES PRIVATE LIMITED,GOLDEN GUILD PROPERTIES PRIVATE LIMITED
INE02EP,CRISS FINANCIAL  LIMITED,CRISS FINANCIAL  LIMITED
INE02HF,VALENCIA AND MISHAL VENTURES PRIVATE LIMITED,VALENCIA AND MISHAL VENTURES PRIVATE LIMITED
INE02JD,GODREJ HOUSING FINANCE LIMITED,GODREJ HOUSING FINANCE LIMITED
INE02KN,GODREJ FINANCE LIMITED,GODREJ FINANCE LIMITED
INE02LU,PL SURYA VIDYUT LIMITED,PL SURYA VIDYUT LIMITED
INE02LW,PL SOLAR RENEWABLE LIMITED,PL SOLAR RENEWABLE LIMITED
INE02LX,PL SUNRAYS POWER LIMITED,PL SUNRAYS POWER LIMITED
INE02PE,JTPM METAL TRADERS LIMITED,JTPM METAL TRADERS LIMITED
INE02VP,IKF HOME FINANCE LIMITED,IKF HOME FINANCE LIMITED
INE02YC,SATIN HOUSING FINANCE LIMITED,SATIN HOUSING FINANCE LIMITED
INE031A,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED
INE033L,TATA GROUP,TATA GROUP
INE034U,MONTECARLO LIMITED,MONTECARLO LIMITED
INE035E,RABO INDIA FINANCE LIMITED,RABO INDIA FINANCE LIMITED
INE036A,RELIANCE GROUP,RELIANCE GROUP
INE036D,THE KARUR VYSYA BANK LIMITED,THE KARUR VYSYA BANK LIMITED
INE036M,DHFL HOLDINGS PRIVATE LIMITED,DHFL HOLDINGS PRIVATE LIMITED
INE037E,TATA GROUP,TATA GROUP
INE037S,SAYA HOMES PRIVATE LIMITED,SAYA HOMES PRIVATE LIMITED
INE0387,RELIABLE DEVICES TRUST,RELIABLE DEVICES TRUST
INE038A,HINDALCO INDUSTRIES LIMITED,HINDALCO INDUSTRIES LIMITED
INE038U,INNOVADOR TRADERS PRIVATE LIMITED,INNOVADOR TRADERS PRIVATE LIMITED
INE039A,IFCI LIMITED,IFCI LIMITED
INE03F3,JMFARC - Metallics November 2018 - Trust,JMFARC - Metallics November 2018 - Trust
INE03H4,AQUA SPACE DEVELOPERS PRIVATE LIMITED,AQUA SPACE DEVELOPERS PRIVATE LIMITED
INE03K3,SATIN FINSERV LIMITED,SATIN FINSERV LIMITED
